Name	Pfad	de	en	fr	it
help	/rdmo/question[10]/help[4]	Bitte geben Sie den Namen und eine Email Adresse an.	Please give the name and an email address.	Veuillez donner le nom et une adresse e-mail.	
text	/rdmo/question[10]/text[4]	Wer ist bei diesem Partner der/die Ansprechpartner/in für das Datenmanagement?	Who is/are the contact person(s) for data management questions?	Qui est/sont la(les) personne(s) de contact pour les questions de gestion des données?	
verbose_name	/rdmo/question[10]/verbose_name[4]				
verbose_name_plural	/rdmo/question[10]/verbose_name_plural[4]				
help	/rdmo/questionset[6]/help[4]				
title	/rdmo/questionset[6]/title[4]	Förderung	Funding	Financement	Finanziamento
verbose_name	/rdmo/questionset[6]/verbose_name[4]	Förderer	funder	Organisme de financement	Ente finanziatore
verbose_name_plural	/rdmo/questionset[6]/verbose_name_plural[4]	Förderer	funders	Organismes de financement	Enti finanziatori
help	/rdmo/question[11]/help[4]				
text	/rdmo/question[11]/text[4]	Wer fördert das Projekt?	Who is funding the project?	Qui finance le projet?	Chi finanza il progetto?
verbose_name	/rdmo/question[11]/verbose_name[4]				
verbose_name_plural	/rdmo/question[11]/verbose_name_plural[4]				
help	/rdmo/question[12]/help[4]				
text	/rdmo/question[12]/text[4]	In welcher Förderlinie und/oder welchem Förderprogramm wird das Projekt gefördert?	Is the project within a special funding programme?	Le projet fait-il partie d'un programme de financement spécial?	
verbose_name	/rdmo/question[12]/verbose_name[4]				
verbose_name_plural	/rdmo/question[12]/verbose_name_plural[4]				
help	/rdmo/question[13]/help[4]	"Auch Forschungsförderer stellen zunehmend Anforderungen an das Datenmanagement in von ihnen geförderten Projekten. Beispiele sind die <a
			href=""https://www.dfg.de/foerderung/antrag_gutachter_gremien/antragstellende/nachnutzung_forschungsdaten/index.html"" target=""_blank"">DFG-Leitlinien zum Umgang mit Forschungsdaten</a> oder die <a
			href=""http://ec.europa.eu/research/participants/data/ref/h2020/grants_manual/hi/oa_pilot/h2020-hi-oa-data-mgt_en.pdf"" target=""_blank"">Guidelines on Data Management in Horizon 2020</a> der Europäischen Komission."	Funders of research also increasingly specify requirements regarding the management of research data in funded projects.	Les organismes de financement de la recherche spécifient également de plus en plus d'exigences concernant la gestion des données de recherche dans les projets financés.	
text	/rdmo/question[13]/text[4]	"Gibt es von Seiten des Forschungsförderers Vorgaben oder Richtlinien bezüglich des Umgangs mit den im Projekt erhobenen Forschungsdaten? Wenn ja, skizzieren Sie diese kurz und verweisen Sie ggf. auf weiterführende Informationen. Geben
			Sie bitte auch an, welchen Grad an Verbindlichkeit sie haben."	Does the funder have rules or recommendations for data management? If yes, please briefly outline them and refer to more detailed sources of information if necessary. Please also indicate, if the rules / guidelines are mandatory or optional.	"L'organisme de financement a-t-il des règles ou des recommandations pour la gestion des données? Si oui, veuillez les décrire brièvement et vous référer à des sources d'informations plus détaillées si nécessaire. Veuillez également
			indiquer si les règles / directives sont obligatoires ou facultatives."	
verbose_name	/rdmo/question[13]/verbose_name[4]				
verbose_name_plural	/rdmo/question[13]/verbose_name_plural[4]				
help	/rdmo/questionset[7]/help[4]				
title	/rdmo/questionset[7]/title[4]	Weitere Anforderungen I	Other requirements I	Autres exigences I	Ulteriori condizioni I
verbose_name	/rdmo/questionset[7]/verbose_name[4]				
verbose_name_plural	/rdmo/questionset[7]/verbose_name_plural[4]				
help	/rdmo/question[14]/help[4]	"Beispiele für fachspezifische Empfehlungen und Richtlinien sind: - <a href=""http://www.dfg.de/download/pdf/foerderung/antragstellung/forschungsdaten/richtlinien_forschungsdaten_biodiversitaetsforschung.pdf""
			target=""_blank"">Richtlinien zum Umgang mit Forschungsdaten in der Biodiversitätsforschung</a> - Empfehlungen zur <a
			href=""http://www.dfg.de/download/pdf/foerderung/antragstellung/forschungsdaten/richtlinien_forschungsdaten_bildungsforschung.pdf"" target=""_blank"">Bereitstellung und Nutzung quantitativer Daten in der Bildungsforschung</a>
			- <a href=""http://www.dfg.de/download/pdf/foerderung/antragstellung/forschungsdaten/foerderkriterien_editionen_literaturwissenschaft.pdf"" target=""_blank"">Förderkriterien für wissenschaftliche Editionen in der
			Literaturwissenschaft</a> - Empfehlungen zu - <a href=""http://www.dfg.de/download/pdf/foerderung/grundlagen_dfg_foerderung/informationen_fachwissenschaften/geisteswissenschaften/standards_sprachkorpora.pdf""
			target=""_blank"">datentechnischen Standards und Tools</a> sowie zu - <a
			href=""http://www.dfg.de/download/pdf/foerderung/grundlagen_dfg_foerderung/informationen_fachwissenschaften/geisteswissenschaften/standards_recht.pdf"" target=""_blank"">rechtlichen Fragen</a> bei der Erhebung von
			Sprachkorpora"	Examples of discipline-specific requirements	Exemples d'exigences propres à une discipline	
text	/rdmo/question[14]/text[4]	Gibt es von weiteren Seiten (z. B. von der Fachcommunity) Anforderungen an das Datenmanagement, die beachtet werden müssen?	Are there requirements regarding the data management from other parties (e.g. the scholarly/scientific community)?	Existe-t-il des exigences concernant la gestion des données d'autres parties (par exemple, la communauté universitaire / scientifique)?	
verbose_name	/rdmo/question[14]/verbose_name[4]				
verbose_name_plural	/rdmo/question[14]/verbose_name_plural[4]				
help	/rdmo/questionset[8]/help[4]				
title	/rdmo/questionset[8]/title[4]	Weitere Anforderungen II	Other requirements II	Autres exigences II	Ulteriori condizioni II
verbose_name	/rdmo/questionset[8]/verbose_name[4]				
verbose_name_plural	/rdmo/questionset[8]/verbose_name_plural[4]				
help	/rdmo/question[15]/help[4]	Bitte skizzieren Sie sie kurz und verweisen Sie ggf. auf weiterführende Informationen. Geben Sie bitte auch an, welchen Grad an Verbindlichkeit sie haben.	Please briefly outline them and refer to more detailed sources of information if necessary. Please also indicate, if the rules / guidelines are mandatory or optional.	Veuillez les décrire brièvement et vous référer à des sources d'informations plus détaillées si nécessaire. Veuillez également indiquer si les règles / directives sont obligatoires ou facultatives.	
text	/rdmo/question[15]/text[4]	Welche Anforderungen an das Datenmanagement sind dies?	Which are these additional requirements regarding data management?	Quelles sont ces exigences supplémentaires concernant la gestion des données?	
verbose_name	/rdmo/question[15]/verbose_name[4]				
verbose_name_plural	/rdmo/question[15]/verbose_name_plural[4]				
title	/rdmo/section[2]/title[4]	Inhaltliche Einordnung	Content classification	Classification du contenu	Classificazione del contenuto
title	/rdmo/questionset[9]/title[4]	Datensätze	Datasets	jeux de données	raccolte di dati
help	/rdmo/questionset[9]/help[4]	"Die nächsten Fragen dienen zur Beschreibung der Datensätze, die im Projekt erzeugt und/oder verwendet werden. Sie helfen zudem, den Wert der Daten hinsichtlich der potentiellen Nachnutzung und einer späteren Archivierung einschätzen
			können. Vor der Erzeugung von Daten empfiehlt es sich zu prüfen, ob bereits vorhandene Daten nachgenutzt werden können. Die Vermeidung doppelter Erhebungen spart Aufwand und Kosten. Handelt es sich um personenbezogene Daten, gelten die Grundsätze der
			EU-Datenschutzgrundverordnung (<a href=""https://dsgvo-gesetz.de/"" target=""_blank"">DSGVO</a>) wie z.B. Datenminimierung (<a href=""https://dsgvo-gesetz.de/art-5-dsgvo/"" target=""_blank"">Art.5
			Abs.1</a>) und das Bundesdatenschutzgesetz (<a =""https://dsgvo-gesetz.de/bdsg/"" target=""_blank"">BDSG</a>). Die Angaben zu den im Projekt erzeugten oder verwendeten Daten sind nach „Datensätzen“ strukturiert. Die
			Definition dessen, was jeweils ein ist, ist eine wichtige konzeptionelle Entscheidung, die für jedes Vorhaben bzw. Projekt individuell getroffen und sorgfältig abgewogen werden muss.
		"	"The following questions collect information on the data that is produced or used in the project. They also help to estimate the value of the data in terms of potential re-use and long-term preservation. Before data is newly created,
			it is advisable to check if there is existing data that could be re-used. This way, redundant collection or creation of research data is prevented. This saves efforts and costs.
		"	"Les questions suivantes collectent des informations sur les données produites ou utilisées dans le projet. Ils aident également à estimer la valeur des données en termes de réutilisation potentielle et de conservation à long terme.
			Avant de créer de nouvelles données, il est conseillé de vérifier s'il existe des données existantes qui pourraient être réutilisées. De cette façon, la collecte ou la création de données de recherche redondantes est empêchée. Cela permet
			d'économiser des efforts et des coûts."	
verbose_name	/rdmo/questionset[9]/verbose_name[4]	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[9]/verbose_name_plural[4]	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[16]/help[4]	"Bitte beschreiben Sie hier kurz, um welchen Datentyp es sich handelt und mit welcher Methode die Daten erhoben oder erstellt wurden, z.B.: * quantitative Online-Befragung * 3D-Modellierung / digitale Rekonstruktion einer
			steinzeitlichen Siedlung * Software, die im Projekt entwickelt wird"	Please briefly describe the data type and / or the method used to create or collect the data, for example: * quantitative online survey * 3D model / digital reconstruction of a stone age settlement * software developed within the project	"Veuillez décrire brièvement le type de données et/ou la méthode utilisée pour créer ou collecter les données, par exemple:* enquête quantitative en ligne * modèle 3D / reconstruction numérique d'une colonie de l'âge de pierre *
			logiciel développé dans le cadre du projet"	
text	/rdmo/question[16]/text[4]	Um was für einen Datensatz handelt es sich?	What kind of dataset is it?	De quel type de jeu de données s'agit-il?	
verbose_name	/rdmo/question[16]/verbose_name[4]				
verbose_name_plural	/rdmo/question[16]/verbose_name_plural[4]				
title	/rdmo/questionset[10]/title[4]	Datenursprung	Data origin	Origine des données	Origine dei dati
help	/rdmo/questionset[10]/help[4]				
verbose_name	/rdmo/questionset[10]/verbose_name[4]	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[10]/verbose_name_plural[4]	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[17]/help[4]				
text	/rdmo/question[17]/text[4]	Wird der Datensatz selbst erzeugt oder nachgenutzt?	Is the dataset being created or re-used?	Le jeu de données est-il en cours de création ou de réutilisation?	
verbose_name	/rdmo/question[17]/verbose_name[4]				
verbose_name_plural	/rdmo/question[17]/verbose_name_plural[4]				
help	/rdmo/question[18]/help[4]				
text	/rdmo/question[18]/text[4]	Wenn nachgenutzt, wer hat den Datensatz erzeugt?	If re-used, who created the dataset?	S'il est réutilisé, qui a créé le jeu de données?	
verbose_name	/rdmo/question[18]/verbose_name[4]				
verbose_name_plural	/rdmo/question[18]/verbose_name_plural[4]				
help	/rdmo/question[19]/help[4]				
text	/rdmo/question[19]/text[4]	Wenn nachgenutzt, unter welcher Adresse, PID oder URL ist der Datensatz verfügbar?	If re-used, under which address, PID or URL can the dataset be found?	S'il est réutilisé, sous quelle adresse, PID ou URL le jeu de données peut-il être trouvé?	
verbose_name	/rdmo/question[19]/verbose_name[4]				
verbose_name_plural	/rdmo/question[19]/verbose_name_plural[4]				
help	/rdmo/questionset[11]/help[4]				
title	/rdmo/questionset[11]/title[4]	Nachnutzung	Reuse	Réutilisation	Riutilizzo
verbose_name	/rdmo/questionset[11]/verbose_name[4]	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[11]/verbose_name_plural[4]	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[20]/help[4]	"Wichtig ist die grundsätzliche Weichenstellung, ob die Daten zur Nachnutzung zugelassen werden oder nicht. Selbstverständlich kann das Nachnutzungspotential dabei nicht alleiniges Entscheidungskriterium sein, sondern rechtliche
			Hinderungsgründe, wie z.B. Datenschutz, Urheberrecht und die Wahrung von Geschäftsgeheimnissen, müssen berücksichtigt werden. Wägen Sie ansonsten das Nachnutzungspotential gegen die Nachteile ab, beispielsweise gegen ein Absinken der
			Teilnahmebereitschaft und den zu erwartenden Mehraufwand einer Datenveröffentlichung."	"It is important to set the fundamental course as to whether or not the data will be permitted for reuse. Of course, the potential for subsequent use can not be the sole decision criterion, but legal impediments, such as Privacy,
			copyright and business secrets must be taken into account. Otherwise, consider the re-use potential against the disadvantages, e.g. a decrease in the readiness to participate and the expected extra effort of a data publication."		
text	/rdmo/question[20]/text[4]	Für welche Personen, Gruppen oder Institutionen könnte dieser Datensatz (für die Nachnutzung) von Interesse sein? Welche Konsequenzen hat das Nachnutzungspotential später für die Bereitstellung der Daten?	Which individuals, groups or institutions could be interested in re-using this dataset? What are possible scenarios?	Quels individus, groupes ou institutions pourraient être intéressés à réutiliser ce jeu de données? Quels sont les scénarios possibles?	
verbose_name	/rdmo/question[20]/verbose_name[4]				
verbose_name_plural	/rdmo/question[20]/verbose_name_plural[4]				
title	/rdmo/questionset[12]/title[4]	Reproduzierbarkeit	Reproducibility	Reproductibilité	Riproducibilità
help	/rdmo/questionset[12]/help[4]				
verbose_name	/rdmo/questionset[12]/verbose_name[4]	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[12]/verbose_name_plural[4]	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[21]/help[4]	"Manche Daten können im Prinzip jederzeit neu erstellt werden. Beispiele hierfür sind etwa naturwissenschaftliche Experimentdaten oder auch Digitalisate analoger Objekte (solange die Originale nicht verlorengehen). Der Aufwand und die
			Kosten hierfür können natürlich durchaus beträchtlich sein. Im Hinblick auf die Frage der Notwendigkeit einer späteren Langzeitarchivierung sollte in diesen Fällen der Aufwand einer erneuten Erstellung gegen den Aufwand der Langzeitarchivierung
			abgewogen werden. Andere Daten wiederum lassen sich per se nicht erneut erheben. Dies ist etwa bei jeglicher Art von episodischer Beobachtungen, sei es sozialwissenschaftlicher oder naturwissenschaftlicher Art, der Fall, da diese ein bestimmtes
			Phänomen an einem bestimmten Zeitpunkt und/oder Ort abbilden und somit i.d.R. nicht wiederholbar sind. Ihr Wert für die Nachnutzung durch andere wie auch der Verlust bei einer nicht erfolgten oder misslungenen Langzeitarchivierung ist ungleich höher
			als bei reproduzierbaren Daten."	"Some data can, technically, be created anew at any time, as is the case with scientific experiments or digitised versions of analog objects (as long as the originals are still there and in good shape). However, this can consume a
			considerable amount of time and cost. With respect to long-term preservation, the effort of re-creation has to be weighed up against the effort of long-term preservation. Other data cannot be collected or created anew.
		"	"Certaines données peuvent, techniquement, être recréées à tout moment, comme c'est le cas avec des expériences scientifiques ou des versions numérisées d'objets analogiques (tant que les originaux sont toujours là et en bon état).
			Cependant, cela peut consommer beaucoup de temps et d'argent. En ce qui concerne la conservation à long terme, l'effort de recréation doit être mis en balance avec l'effort de conservation à long terme. D'autres données ne peuvent pas être collectées
			ou recréées."	
text	/rdmo/question[21]/text[4]	Ist der Datensatz reproduzierbar, d. h. ließe sich er sich, wenn er verloren ginge, erneut erstellen oder erheben?	Is the dataset reproducible in the sense that it could be created / collected anew in case it got lost?	L'jeu de données est-il reproductible au sens où il pourrait être créé / collecté à nouveau en cas de perte?	
verbose_name	/rdmo/question[21]/verbose_name[4]				
verbose_name_plural	/rdmo/question[21]/verbose_name_plural[4]				
title	/rdmo/section[3]/title[4]	Technische Einordnung	Technical classification	Classification technique	Classificazione tecnica
title	/rdmo/questionset[13]/title[4]	Datenerhebung	Data collection	Collecte de données	Raccolta dei dati
help	/rdmo/questionset[13]/help[4]	Geben Sie Zeitangaben an insofern (bereits) bekannt.	Give time specifications to such a degree as (already) known.		
verbose_name	/rdmo/questionset[13]/verbose_name[4]	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[13]/verbose_name_plural[4]	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[22]/help[4]				
text	/rdmo/question[22]/text[4]	Wann beginnt die Erhebung bzw. Erstellung der Daten?	When does data collection or creation start?	Quand commence la collecte ou la création de données?	Quando inizia la raccolta o la creazione dei dati?
verbose_name	/rdmo/question[22]/verbose_name[4]				
verbose_name_plural	/rdmo/question[22]/verbose_name_plural[4]				
help	/rdmo/question[23]/help[4]				
text	/rdmo/question[23]/text[4]	Wann endet die Erhebung bzw. Erstellung der Daten?	When does data collection or creation end?	Quand la collecte ou la création de données prend-elle fin?	Quando termina la raccolta o la creazione dei dati?
verbose_name	/rdmo/question[23]/verbose_name[4]				
verbose_name_plural	/rdmo/question[23]/verbose_name_plural[4]				
help	/rdmo/question[24]/help[4]				
text	/rdmo/question[24]/text[4]	Wann beginnt die Datenbereinigung / -aufbereitung?	When does data cleansing / data preparation start?	Quand commence le nettoyage / la préparation des données?	Quando inizia la pulizia / la preparazione dei dati?
verbose_name	/rdmo/question[24]/verbose_name[4]				
verbose_name_plural	/rdmo/question[24]/verbose_name_plural[4]				
help	/rdmo/question[25]/help[4]				
text	/rdmo/question[25]/text[4]	Wann endet die Datenbereinigung / -aufbereitung?	When does data cleansing / data preparation end?	Quand se termine le nettoyage / la préparation des données?	Quando termina la pulizia / la preparazione dei dati?
verbose_name	/rdmo/question[25]/verbose_name[4]				
verbose_name_plural	/rdmo/question[25]/verbose_name_plural[4]				
help	/rdmo/question[26]/help[4]				
text	/rdmo/question[26]/text[4]	Wann beginnt die Datenanalyse?	When does data analysis start?	Quand l'analyse des données commence-t-elle?	Quando inizia l'analisi dei dati?
verbose_name	/rdmo/question[26]/verbose_name[4]				
verbose_name_plural	/rdmo/question[26]/verbose_name_plural[4]				
help	/rdmo/question[27]/help[4]				
text	/rdmo/question[27]/text[4]	Wann endet die Datenanalyse?	When does data analysis end?	Quand l'analyse des données prend-elle fin?	Quando termina l'analisi dei dati?
verbose_name	/rdmo/question[27]/verbose_name[4]				
verbose_name_plural	/rdmo/question[27]/verbose_name_plural[4]				
title	/rdmo/questionset[14]/title[4]	Datengröße	Data size	Volume des données	Volume dei dati
help	/rdmo/questionset[14]/help[4]				
verbose_name	/rdmo/questionset[14]/verbose_name[4]	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[14]/verbose_name_plural[4]	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[28]/help[4]				
text	/rdmo/question[28]/text[4]	Was ist die tatsächliche oder erwartete Größe des Datensatzes?	What is the actual or expected size of the dataset?	Quelle est la taille actuelle ou attendue du jeu de données?	Qual è il volume reale o atteso dei dati?
verbose_name	/rdmo/question[28]/verbose_name[4]				
verbose_name_plural	/rdmo/question[28]/verbose_name_plural[4]				
help	/rdmo/question[29]/help[4]	Optional. Dies ist nur relevant, wenn das Wachstum die TB-Größenordnung erreicht.	Optional. This is only of concern if the data production rate reaches TB scale.	Optionnel. Cela n'est concerné que si le taux de production des données atteint l'échelle de TB.	Opzionale. Questo è rilevante solo se il tasso di produzione dei dati raggiunge l'ordine dei TB.
text	/rdmo/question[29]/text[4]	Wie hoch ist die erwartete Erzeugungsrate der Daten pro Jahr?	How much data is produced per year?	Combien de données sont produites par an?	Quanti dati vengono prodotti in un anno?
verbose_name	/rdmo/question[29]/verbose_name[4]				
verbose_name_plural	/rdmo/question[29]/verbose_name_plural[4]				
title	/rdmo/questionset[15]/title[4]	Formate	Formats	Formats	Formati
help	/rdmo/questionset[15]/help[4]				
verbose_name	/rdmo/questionset[15]/verbose_name[4]	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[15]/verbose_name_plural[4]	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[30]/help[4]	"Bei der Wahl des Dateiformates sollten auch die Konsequenzen für die kollaborative Nutzung, die Langzeitarchivierung sowie die Nachnutzung beachtet werden. Es empfiehlt sich, möglichst standardisierte, nicht-proprietäre und allgemein
			bzw. in der spezifischen Community verbreitete Formate zu nutzen. Weitere Kriterien sowie detaillierte Erläuterungen sind z.B. im <a href=""https://www.forschungsdaten.org/images/b/b0/Leitfaden_Data-Management-WissGrid.pdf""
			target=""_blank"">WissGrid-Leitfaden, S. 22 f.</a>) zu finden."	"When choosing a data format, one should consider the consequences for collaborative use, long-term preservation as well as re-use. It is advisable to prefer formats that are standardised, open, non-proprietary and well-established in
			the respective scholarly community.
		"	"Lors du choix d'un format de données, il convient de tenir compte des conséquences pour l'utilisation collaborative, la conservation à long terme ainsi que la réutilisation. Il est conseillé de préférer des formats standardisés,
			ouverts, non propriétaires et bien établis dans la communauté respective."	
text	/rdmo/question[30]/text[4]	In welchen Formaten liegen die Daten vor?	Which file formats are used?	Quels formats de fichiers sont utilisés?	Quali formati di file vengono utilizzati?
verbose_name	/rdmo/question[30]/verbose_name[4]				
verbose_name_plural	/rdmo/question[30]/verbose_name_plural[4]				
title	/rdmo/questionset[16]/title[4]	Werkzeuge	Tools	Outils	Strumenti
help	/rdmo/questionset[16]/help[4]				
verbose_name	/rdmo/questionset[16]/verbose_name[4]	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[16]/verbose_name_plural[4]	Datensätze	datasets	jeux de données	raccolte di dati
