Name	Pfad	de	en	fr	it
help	/rdmo/question[9]/help	"Immer mehr Hochschulen und wissenschaftliche Einrichtungen verabschieden Leitlinien oder Richtlinien (oft auch als „Policies“ bezeichnet) zum Forschungsdatenmanagement.
Diese enthalten unter anderem Empfehlungen und/oder Vorgaben zum Umgang mit Forschungsdaten, die die Wissenschaftlerinnen und Wissenschaftler der Einrichtung beachten sollten oder müssen (je nach Grad der Verbindlichkeit), zum Beispiel die <a href=""http://www.uni-goettingen.de/de/01-juli-2014-forschungsdaten-leitlinie-der-universitaet-goettingen-einschl-umg/488918.html"" target=""_blank"">Leitlinien zum Umgang mit Forschungsdaten</a> der Georg-August-Universität Göttingen.
	"	"More and more universities and scientific institutions adopt research data management policies.
These contain, among other things, recommendations and / or demands concerning the handling of research data by researchers of the institution.
"	"De plus en plus d'universités et d'institutions scientifiques adoptent des politiques de gestion des données de recherche.
Celles-ci contiennent, entre autres, des recommandations et / ou des exigences autour du traitement des données de la recherche par les chercheurs de l’institution.
"	"Sempre più università e istituzioni scientifiche hanno adottato delle politiche di gestione dei dati della ricerca.
Queste contengono tra l'altro raccomandazioni e / o condizioni sul trattamento dei dati da parte dei ricercatori dell’istituzione.
"
text	/rdmo/question[9]/text	"Gibt es an Ihrer Einrichtung Regeln oder Richtlinien zum Umgang mit den im Projekt erhobenen Forschungsdaten?
Wenn ja, skizzieren Sie diese kurz und verweisen Sie ggf. auf weiterführende Informationen. Geben Sie bitte auch an, welchen Grad an Verbindlichkeit sie haben.		"	"Does your institution have rules or guidelines for the handling of research data?
If yes, please briefly outline them and refer to more detailed sources of information if necessary. Please also indicate, if the rules / guidelines are mandatory or optional.
"	"Votre établissement a-t-il des règles ou des directives pour le traitement des données de recherche ?
Si oui, veuillez les décrire brièvement et vous référer à des sources d'informations plus détaillées si nécessaire.
Veuillez également indiquer si les règles / directives sont obligatoires ou facultatives.
"	"La vostra istituzione ha emanato delle regole o direttive per il trattamento dei dati generati nel progetto?
In caso affermativo, si prega di descriverle succintamente, inserendo riferimenti a fonti più dettagliate ove necessario.
Si prega inoltre di indicare in che misura queste regole sono vincolanti.
"
verbose_name	/rdmo/question[9]/verbose_name				
verbose_name_plural	/rdmo/question[9]/verbose_name_plural				
help	/rdmo/question[10]/help	Bitte geben Sie den Namen und eine E-mail Adresse an.	Please give the name and an e-mail address.	Veuillez donner le nom et une adresse e-mail.	Si prega di inserire un nome e un indirizzo di posta elettronica.
text	/rdmo/question[10]/text	Wer ist bei diesem Partner der/die Ansprechpartner/in für das Datenmanagement?	Who is/are the contact person(s) for data management questions?	Qui est/sont la(les) personne(s) de contact pour les questions de gestion des données ?	Chi è / chi sono le persone incaricate della gestione dei dati presso questo partner?
verbose_name	/rdmo/question[10]/verbose_name				
verbose_name_plural	/rdmo/question[10]/verbose_name_plural				
help	/rdmo/questionset[6]/help				
title	/rdmo/questionset[6]/title	Förderung	Funding	Financement	Finanziamento
verbose_name	/rdmo/questionset[6]/verbose_name	Förderer	funder	Organisme de financement	Ente finanziatore
verbose_name_plural	/rdmo/questionset[6]/verbose_name_plural	Förderer	funders	Organismes de financement	Enti finanziatori
help	/rdmo/question[11]/help				
text	/rdmo/question[11]/text	Wer fördert das Projekt?	Who is funding the project?	Qui finance le projet ?	Chi finanza il progetto?
verbose_name	/rdmo/question[11]/verbose_name				
verbose_name_plural	/rdmo/question[11]/verbose_name_plural				
help	/rdmo/question[12]/help				
text	/rdmo/question[12]/text	In welcher Förderlinie und/oder welchem Förderprogramm wird das Projekt gefördert?	Which funding programme does the project get financing from?	De quel programme de financement vient le financement de ce projet ?	In che programma di finanziamento viene finanziato il progetto?
verbose_name	/rdmo/question[12]/verbose_name				
verbose_name_plural	/rdmo/question[12]/verbose_name_plural				
help	/rdmo/question[13]/help	"Auch Forschungsförderer stellen zunehmend Anforderungen an das Datenmanagement in von ihnen geförderten Projekten.
Beispiele sind die <a href=""https://www.dfg.de/foerderung/antrag_gutachter_gremien/antragstellende/nachnutzung_forschungsdaten/index.html"" target=""_blank"">DFG-Leitlinien zum Umgang mit Forschungsdaten</a>
oder die <a href=""http://ec.europa.eu/research/participants/data/ref/h2020/grants_manual/hi/oa_pilot/h2020-hi-oa-data-mgt_en.pdf"" target=""_blank"">Guidelines on Data Management in Horizon 2020</a> der Europäischen Kommission.
Weitere fachspezifische Empfehlungen und Richtlinien zum Umgang mit Forschungsdaten werden beispielsweise von der <a href=""https://www.dfg.de/foerderung/antrag_gutachter_gremien/antragstellende/nachnutzung_forschungsdaten/""
target=""_blank"">Deutschen Forschungsgemeinschaft (DFG)</a> bereitgestellt.
"	"Funders of research also increasingly specify requirements regarding the management of research data in funded projects.
"	"Les organismes de financement de la recherche spécifient également de plus en plus d'exigences concernant la gestion des données de recherche dans les projets financés.
"	"Anche i finanziatori della ricerca stanno progressivamente ponendo delle richieste riguardo alla gestione dei dati di ricerca nei progetti da loro finanziati.
"
text	/rdmo/question[13]/text	"Gibt es von Seiten des Forschungsförderers Vorgaben oder Richtlinien bezüglich des Umgangs mit den im Projekt erhobenen Forschungsdaten?
Wenn ja, skizzieren Sie diese kurz und verweisen Sie ggf. auf weiterführende Informationen. Geben Sie bitte auch an, welchen Grad an Verbindlichkeit sie haben.
"	"Does the funder have rules or recommendations for data management?
If yes, please briefly outline them and refer to more detailed sources of information if necessary. Please also indicate, if the rules / guidelines are mandatory or optional.
"	"L'organisme de financement a-t-il des règles ou des recommandations pour la gestion des données ?
Si oui, veuillez les décrire brièvement et vous référer à des sources d'informations plus détaillées si nécessaire. Veuillez également indiquer si les règles / directives sont obligatoires ou facultatives.
"	"L'ente di finanziamento ha emanato delle regole o raccomandazioni sulla gestione dei dati?
In caso affermativo, si prega di descriverle succintamente, inserendo riferimenti a fonti più dettagliate ove necessario.
Si prega inoltre di indicare in che misura queste regole sono vincolanti.
"
verbose_name	/rdmo/question[13]/verbose_name				
verbose_name_plural	/rdmo/question[13]/verbose_name_plural				
help	/rdmo/questionset[7]/help				
title	/rdmo/questionset[7]/title	Weitere Anforderungen I	Other requirements I	Autres exigences I	Ulteriori condizioni I
verbose_name	/rdmo/questionset[7]/verbose_name				
verbose_name_plural	/rdmo/questionset[7]/verbose_name_plural				
help	/rdmo/question[14]/help	"Beispiele für fachspezifische Empfehlungen und Richtlinien sind:
- <a href=""http://www.dfg.de/download/pdf/foerderung/antragstellung/forschungsdaten/richtlinien_forschungsdaten_biodiversitaetsforschung.pdf"" target=""_blank"">Richtlinien zum Umgang mit Forschungsdaten in der Biodiversitätsforschung</a>
- Empfehlungen zur <a href=""http://www.dfg.de/download/pdf/foerderung/antragstellung/forschungsdaten/richtlinien_forschungsdaten_bildungsforschung.pdf"" target=""_blank"">Bereitstellung und Nutzung quantitativer Daten in der Bildungsforschung</a>
- <a href=""http://www.dfg.de/download/pdf/foerderung/antragstellung/forschungsdaten/foerderkriterien_editionen_literaturwissenschaft.pdf"" target=""_blank"">Förderkriterien für wissenschaftliche Editionen in der Literaturwissenschaft</a>
- Empfehlungen zu - <a href=""http://www.dfg.de/download/pdf/foerderung/grundlagen_dfg_foerderung/informationen_fac hwissenschaften/geisteswissenschaften/standards_sprachkorpora.pdf""target=""_blank"">datentechnischen Standards und Tools</a>
sowie zu - <a href=""http://www.dfg.de/download/pdf/foerderung/grundlagen_dfg_foerderung/informationen_fachwissenschaften/geisteswissenschaften/standards_recht.pdf"" target=""_blank"">rechtlichen Fragen</a> bei der Erhebung von Sprachkorpora.
Weitere fachspezifische Empfehlungen und Richtlinien zum Umgang mit Forschungsdaten werden beispielsweise von der <a href=""https://www.dfg.de/foerderung/antrag_gutachter_gremien/antragstellende/nachnutzung_forschungsdaten/""
target=""_blank"">Deutschen Forschungsgemeinschaft (DFG)</a> bereitgestellt.
"	"Examples of discipline-specific requirements:
- <a href=""https://www.dfg.de/download/pdf/foerderung/antragstellung/forschungsdaten/guidelines_biodiversity_research.pdf"" 		target=""_blank"">Guidelines on the Handling of Research Data in Biodiversity Research</a>
- <a href=""https://www.dfg.de/download/pdf/foerderung/antragstellung/forschungsdaten/guidelines_review_board_linguistics_corpora.pdf"" target=""_blank"">Guidelines by the DFG Review Board on Linguistics - Language Corpora</a>.
Further discipline-specific guidelines on the handling of Research Data are provided by the <a href=""https://www.dfg.de/en/research_funding/proposal_review_decision/applicants/research_data/index.html"" target=""_blank"">DFG (German Research Foundation)</a>.
"		
text	/rdmo/question[14]/text	Gibt es von weiteren Seiten (z. B. von der Fachcommunity) Anforderungen an das Datenmanagement, die beachtet werden müssen?	Are there requirements regarding the data management from other parties (e.g. the scholarly/scientific community)?	Existe-t-il des exigences concernant la gestion des données d'autres parties (par exemple, la communauté universitaire / scientifique) ?	Esistono ulteriori condizioni sulla gestione dei dati di altra provenienza (per esempio dalla comunità accademica o scientifica)?
verbose_name	/rdmo/question[14]/verbose_name				
verbose_name_plural	/rdmo/question[14]/verbose_name_plural				
help	/rdmo/questionset[8]/help				
title	/rdmo/questionset[8]/title	Weitere Anforderungen II	Other requirements II	Autres exigences II	Ulteriori condizioni II
verbose_name	/rdmo/questionset[8]/verbose_name				
verbose_name_plural	/rdmo/questionset[8]/verbose_name_plural				
help	/rdmo/question[15]/help	Bitte skizzieren Sie sie kurz und verweisen Sie ggf. auf weiterführende Informationen. Geben Sie bitte auch an, welchen Grad an Verbindlichkeit sie haben.	Please briefly outline them and refer to more detailed sources of information if necessary. Please also indicate, if the rules / guidelines are mandatory or optional.	Veuillez les décrire brièvement et vous référer à des sources d'informations plus détaillées si nécessaire. Veuillez également indiquer si les règles / directives sont obligatoires ou facultatives.	In caso affermativo, si prega di descriverle succintamente, inserendo riferimenti a fonti più dettagliate ove necessario. Si prega inoltre di indicare in che misura queste regole sono vincolanti.
text	/rdmo/question[15]/text	Welche Anforderungen an das Datenmanagement sind dies?	Which are these additional requirements regarding data management?	Quelles sont ces exigences supplémentaires concernant la gestion des données ?	Quali sono queste condizioni ulteriori sulla gestione dei dati?
verbose_name	/rdmo/question[15]/verbose_name				
verbose_name_plural	/rdmo/question[15]/verbose_name_plural				
title	/rdmo/section[2]/title	Inhaltliche Einordnung	Content classification	Classification du contenu	Classificazione del contenuto
title	/rdmo/questionset[9]/title	Datensätze	Datasets	jeux de données	raccolte di dati
help	/rdmo/questionset[9]/help	"Die nächsten Fragen dienen zur Beschreibung der Datensätze, die im Projekt erzeugt und/oder verwendet werden. Sie helfen zudem, den Wert der Daten hinsichtlich der potentiellen Nachnutzung und einer späteren Archivierung einschätzen zu können.
Vor der Erzeugung von Daten empfiehlt es sich, zu prüfen, ob bereits vorhandene Daten nachgenutzt werden können. Die Vermeidung doppelter Erhebungen spart Aufwand und Kosten.
Handelt es sich um personenbezogene Daten, gelten die Grundsätze der EU-Datenschutzgrundverordnung (<a href=""https://dsgvo-gesetz.de/"" target=""_blank"">DSGVO</a>) wie z.B. Datenminimierung (<a href=""https://dsgvo-gesetz.de/art-5-dsgvo/"" target=""_blank"">Art.5 Abs.1</a>) und das Bundesdatenschutzgesetz (<a =""https://dsgvo-gesetz.de/bdsg/"" target=""_blank"">BDSG</a>).
Die Angaben zu den im Projekt erzeugten oder verwendeten Daten sind nach „Datensätzen“ strukturiert. Die Definition dessen, was jeweils ein Datensatz ist, ist eine wichtige konzeptionelle Entscheidung, die für jedes Vorhaben bzw. Projekt individuell getroffen und sorgfältig abgewogen werden muss.
"	"The following questions collect information on the data that is produced or used in the project. They also help to estimate the value of the data in terms of potential re-use and long-term preservation.
Before data is newly created, it is advisable to check if there is existing data that could be re-used. This way, redundant collection or creation of research data is prevented. This saves efforts and costs.
"	"Les questions suivantes collectent des informations sur les données produites ou utilisées dans le projet. Ils aident également à estimer la valeur des données en termes de réutilisation potentielle et de conservation à long terme.
Avant de créer de nouvelles données, il est conseillé de vérifier s'il existe des données existantes qui pourraient être réutilisées. De cette façon, la collecte ou la création de données de recherche redondantes est empêchée. Cela permet d'économiser des efforts et des coûts.
"	"Le domande seguenti servono a descrivere le raccolte di dati generate e/o utilizzate nel progetto. Inoltre aiutano a stimare il valore dei dati sulla base del potenziale riutilizzo.
Prima di generare dati nuovi conviene verificare l'eventuale disponibilità di dati già esistenti e riutilizzabili, in modo da evitare una superflua doppia acquisizione. Questa procedura permette di economizzare sforzi e costi.
"
verbose_name	/rdmo/questionset[9]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[9]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[16]/help	"Bitte beschreiben Sie hier kurz, um welchen Datentyp es sich handelt und mit welcher Methode die Daten erhoben oder erstellt wurden, z.B.: 
<ul><li>quantitative Online-Befragung</li>
<li>3D-Modellierung / digitale Rekonstruktion einer steinzeitlichen Siedlung</li>
<li>Software, die im Projekt entwickelt wird</li></ul>
"	"Please briefly describe the data type and / or the method used to create or collect the data, for example:
<ul><li>quantitative online survey</li>
<li>3D model / digital reconstruction of a stone age settlement</li>
<li>software developed within the project</li></ul>
"	"Veuillez décrire brièvement le type de données et/ou la méthode utilisée pour créer ou collecter les données, par exemple:
<ul><li>enquête quantitative en ligne</li>
<li>modèle 3D / reconstruction numérique d'une colonie de l'âge de pierre</li>
<li>logiciel développé dans le cadre du projet</li></ul>
"	"Si prega di descrivere succintamente il tipo di dati e/o il metodo utilizzato per la generazione o collezione dei dati, ad esempio:
<ul><li>sondaggio quantitativo in linea</li>
<li>modello tridimensionale / ricostruzione numerica di un insediamento dell'età della pietra</li>
<li>programma sviluppato nel corso del progetto</li></ul>
"
text	/rdmo/question[16]/text	Um was für einen Datensatz handelt es sich?	What kind of dataset is it?	De quel type de jeu de données s'agit-il ?	Di che tipo di dati si tratta?
verbose_name	/rdmo/question[16]/verbose_name				
verbose_name_plural	/rdmo/question[16]/verbose_name_plural				
title	/rdmo/questionset[10]/title	Datenursprung	Data origin	Origine des données	Origine dei dati
help	/rdmo/questionset[10]/help				
verbose_name	/rdmo/questionset[10]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[10]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[17]/help				
text	/rdmo/question[17]/text	Wird der Datensatz selbst erzeugt oder nachgenutzt?	Is the dataset being created or re-used?	Le jeu de données est-il créé dans le projet ou réutilisé ?	La raccolta di dati è stata creata nel progetto o riutilizzata?
verbose_name	/rdmo/question[17]/verbose_name				
verbose_name_plural	/rdmo/question[17]/verbose_name_plural				
help	/rdmo/question[18]/help				
text	/rdmo/question[18]/text	Wenn nachgenutzt, wer hat den Datensatz erzeugt?	If re-used, who created the dataset?	S'il est réutilisé, qui a créé le jeu de données ?	Se è stata riutilizzata, chi l’ha creata?
verbose_name	/rdmo/question[18]/verbose_name				
verbose_name_plural	/rdmo/question[18]/verbose_name_plural				
help	/rdmo/question[19]/help				
text	/rdmo/question[19]/text	Wenn nachgenutzt, unter welcher Adresse, PID oder URL ist der Datensatz verfügbar?	If re-used, under which address, PID or URL can the dataset be found?	S'il est réutilisé, sous quelle adresse, PID ou URL le jeu de données peut-il être trouvé ?	Se è stata riutilizzata, a che indirizzo, PID o URL si trova?
verbose_name	/rdmo/question[19]/verbose_name				
verbose_name_plural	/rdmo/question[19]/verbose_name_plural				
help	/rdmo/questionset[11]/help				
title	/rdmo/questionset[11]/title	Nachnutzung	Reuse	Réutilisation	Riutilizzo
verbose_name	/rdmo/questionset[11]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[11]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[20]/help	"Wichtig ist die grundsätzliche Weichenstellung, ob die Daten zur Nachnutzung zugelassen werden oder nicht.
Selbstverständlich kann das Nachnutzungspotential dabei nicht alleiniges Entscheidungskriterium sein, sondern rechtliche Hinderungsgründe, wie z.B. Datenschutz, Urheberrecht und die Wahrung von Geschäftsgeheimnissen, müssen berücksichtigt werden.
Wägen Sie ansonsten das Nachnutzungspotential gegen die Nachteile ab, beispielsweise gegen ein Absinken der Teilnahmebereitschaft und den zu erwartenden Mehraufwand einer Datenveröffentlichung.
"	"It is important to set the fundamental course as to whether or not the data will be permitted for reuse.
Of course, the potential for subsequent use can not be the sole decision criterion, but legal impediments, such as Privacy, copyright and business secrets must be taken into account.
Otherwise, consider the re-use potential against the disadvantages, e.g. a decrease in the readiness to participate and the expected extra effort of a data publication.
"	"C'est important de prendre une décision raisonnée, si les données doivent être partagées pour la réutilisation ou non.
Bien sûr le potentiel pour la réutilisation ne peut pas être le seul critère pour la décision, mais on doit tenir compte aussi de restrictions légales, comme la sauvegarde de la vie privée, de la propriété intellectuelle et des secrets industriels.
Dans les autres cas, le potentiel pour la réutilisation doit être pesé contre les désavantage, par exemple une diminution dans la disponibilité à coopérer où l'effort additionel prévu dû à la publication des données.
"	"È importante prendere una decisione ragionata, se i dati devono essere condivisi per il riutilizzo oppure no.
Ovviamente, il potenziale per il riutilizzo non può essere l'unico criterio alla base della decisione, ma bisogna tenere conto anche di restrizioni legali, tra cui la privacy, la proprietà intellettuale e il segreto industriale.
Escludendo questi casi, il potenziale per il riutilizzo va soppesato di fronte a possibili svantaggi, per esempio una diminuzione della disponibilità alla collaborazione e il prevedibile lavoro aggiuntivo dovuto al processo di pubblicazione.
"
text	/rdmo/question[20]/text	Für welche Personen, Gruppen oder Institutionen könnte dieser Datensatz (für die Nachnutzung) von Interesse sein? Welche Konsequenzen hat das Nachnutzungspotential später für die Bereitstellung der Daten?	Which individuals, groups or institutions could be interested in re-using this dataset? What are possible scenarios?	Quels individus, groupes ou institutions pourraient être intéressés à réutiliser ce jeu de données ? Quels sont les scénarios possibles ?	Quali persone, categorie o istituzioni potrebbero essere interessate al riutilizzo di questa raccolta di dati? Quali sono gli scenari possibili?
verbose_name	/rdmo/question[20]/verbose_name				
verbose_name_plural	/rdmo/question[20]/verbose_name_plural				
title	/rdmo/questionset[12]/title	Reproduzierbarkeit	Reproducibility	Reproductibilité	Riproducibilità
help	/rdmo/questionset[12]/help				
verbose_name	/rdmo/questionset[12]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[12]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[21]/help	"Manche Daten können im Prinzip jederzeit neu erstellt werden. Beispiele hierfür sind etwa naturwissenschaftliche Experimentdaten oder auch Digitalisate analoger Objekte (solange die Originale nicht verlorengehen).
Der Aufwand und die Kosten hierfür können natürlich durchaus beträchtlich sein.
Im Hinblick auf die Frage der Notwendigkeit einer späteren Langzeitarchivierung sollte in diesen Fällen der Aufwand einer erneuten Erstellung gegen den Aufwand der Langzeitarchivierung abgewogen werden.
Andere Daten wiederum lassen sich per se nicht erneut erheben. Dies ist etwa bei jeglicher Art von episodischer Beobachtungen, sei es sozialwissenschaftlicher oder naturwissenschaftlicher Art, der Fall, da diese ein bestimmtes Phänomen an einem bestimmten Zeitpunkt und/oder Ort abbilden und somit i.d.R. nicht wiederholbar sind.
Ihr Wert für die Nachnutzung durch andere wie auch der Verlust bei einer nicht erfolgten oder misslungenen Langzeitarchivierung ist ungleich höher als bei reproduzierbaren Daten.
"	"Some data can, technically, be created anew at any time, as is the case with scientific experiments or digitised versions of analog objects (as long as the originals are still there and in good shape).
However, this can consume a considerable amount of time and cost. With respect to long-term preservation, the effort of re-creation has to be weighed up against the effort of long-term preservation. Other data cannot be collected or created anew.
		"	"Certaines données peuvent, techniquement, être recréées à tout moment, comme c'est le cas avec des expériences scientifiques ou des versions numérisées d'objets analogiques (tant que les originaux sont toujours là et en bon état).
Cependant, cela peut consommer beaucoup de temps et d'argent. En ce qui concerne la conservation à long terme, l'effort de recréation doit être mis en balance avec l'effort de conservation à long terme.
D'autres données ne peuvent pas être collectées ou recréées.
"	"Certi dati possono in linea di massima essere ricreati in qualunque momento, come nel caso di esperimenti nelle scienze naturali o delle versioni digitalizzate di oggetti reali (fintanto che gli originali sono disponibili e in buone condizioni).
Ciononostante, questo comporta spesso un dispendio notevole di tempo e risorse. Valutando l'opportunità di una conservazione a lungo termine dei dati, lo sforzo di una rigenerazione degli stessi va soppesato contro lo sforzo per la conservazione.
Altri tipi di dati sono di per sé unici e non possono essere rigenerati. Questo è il caso per esempio di osservazioni occasionali nelle scienze sociali o naturali, in quanto esse si riferiscono a un evento manifestatosi in un determinato momento/luogo e quindi non sono normalmente ripetibili.
Il loro valore per un riutilizzo da parte di terzi come pure il costo della perdita in caso di una conservazione non andata a buon fine sono notevolmente più elevati in confronto a dati riproducibili.
"
text	/rdmo/question[21]/text	Ist der Datensatz reproduzierbar, d. h. Ließe er sich, wenn er verloren ginge, erneut erstellen oder erheben?	Is the dataset reproducible in the sense that it could be created / collected anew in case it got lost?	Le jeu de données est-il reproductible au sens où il pourrait être créé / collecté à nouveau en cas de perte ?	La raccolta di dati è riproducibile, ovvero sarebbe possibile crearla di nuovo in caso di perdita?
verbose_name	/rdmo/question[21]/verbose_name				
verbose_name_plural	/rdmo/question[21]/verbose_name_plural				
title	/rdmo/section[3]/title	Technische Einordnung	Technical classification	Classification technique	Classificazione tecnica
title	/rdmo/questionset[13]/title	Datenerhebung	Data collection	Collecte de données	Raccolta dei dati
help	/rdmo/questionset[13]/help	Geben Sie Zeitangaben an, sofern diese (bereits) bekannt sind.	Give time specifications to such a degree as (already) known.	Veuillez insérer les spécifications de temps, autant qu’elles soient (déjà) connues.	Inserire le specificazioni di tempo nella misura in cui (già) note.
verbose_name	/rdmo/questionset[13]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[13]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[22]/help				
text	/rdmo/question[22]/text	Wann beginnt die Erhebung bzw. Erstellung der Daten?	When does data collection or creation start?	Quand commence la collecte ou la création de données ?	Quando inizia la raccolta o la creazione dei dati?
verbose_name	/rdmo/question[22]/verbose_name				
verbose_name_plural	/rdmo/question[22]/verbose_name_plural				
